XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8192, num_elements:2048, num_trials:200
Start Send/Recv test:
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8192, num_elements:2048, num_trials:200
iteration:0, F2F_time[s]:0.000354, H2H_time:0.000170, sync_time:0.000183
iteration:1, F2F_time[s]:0.000215, H2H_time:0.000148, sync_time:0.000067
iteration:2, F2F_time[s]:0.000312, H2H_time:0.000035, sync_time:0.000278
iteration:3, F2F_time[s]:0.000208, H2H_time:0.000127, sync_time:0.000081
iteration:4, F2F_time[s]:0.000301, H2H_time:0.000043, sync_time:0.000258
iteration:5, F2F_time[s]:0.000206, H2H_time:0.000143, sync_time:0.000062
iteration:6, F2F_time[s]:0.000243, H2H_time:0.000128, sync_time:0.000116
iteration:7, F2F_time[s]:0.000281, H2H_time:0.000032, sync_time:0.000248
iteration:8, F2F_time[s]:0.000205, H2H_time:0.000140, sync_time:0.000065
iteration:9, F2F_time[s]:0.000291, H2H_time:0.000034, sync_time:0.000257
iteration:10, F2F_time[s]:0.000191, H2H_time:0.000132, sync_time:0.000058
iteration:11, F2F_time[s]:0.000279, H2H_time:0.000033, sync_time:0.000246
iteration:12, F2F_time[s]:0.000196, H2H_time:0.000138, sync_time:0.000058
iteration:13, F2F_time[s]:0.000301, H2H_time:0.000033, sync_time:0.000268
iteration:14, F2F_time[s]:0.000191, H2H_time:0.000125, sync_time:0.000067
iteration:15, F2F_time[s]:0.000255, H2H_time:0.000033, sync_time:0.000222
iteration:16, F2F_time[s]:0.000172, H2H_time:0.000099, sync_time:0.000073
iteration:17, F2F_time[s]:0.000161, H2H_time:0.000095, sync_time:0.000065
iteration:18, F2F_time[s]:0.000156, H2H_time:0.000099, sync_time:0.000056
iteration:19, F2F_time[s]:0.000167, H2H_time:0.000099, sync_time:0.000068
iteration:20, F2F_time[s]:0.000155, H2H_time:0.000097, sync_time:0.000057
iteration:21, F2F_time[s]:0.000183, H2H_time:0.000094, sync_time:0.000089
iteration:22, F2F_time[s]:0.000153, H2H_time:0.000087, sync_time:0.000065
iteration:23, F2F_time[s]:0.000145, H2H_time:0.000094, sync_time:0.000050
iteration:24, F2F_time[s]:0.000176, H2H_time:0.000101, sync_time:0.000075
iteration:25, F2F_time[s]:0.000150, H2H_time:0.000100, sync_time:0.000050
iteration:26, F2F_time[s]:0.000201, H2H_time:0.000035, sync_time:0.000166
iteration:27, F2F_time[s]:0.000153, H2H_time:0.000096, sync_time:0.000056
